Date,Pays,Chaîne,Nom de la série,Saison,Épisode,URL
08-10-2023,AMC,Royaume-Uni,The Walking Dead: Daryl Dixon,1,05,https://www.spin-off.frepisode05-409848-08102023-saison1-The-Walking-Dead-Daryl-Dixon.html
08-10-2023,ITVX,Etats-Unis,The Winter King,1,06,https://www.spin-off.frepisode06-409132-08102023-saison1-The-Winter-King.html
08-10-2023,Hallmark Channel,Canada,When Calls the Heart,10,11,https://www.spin-off.frepisode11-407540-08102023-saison10-When-Calls-the-Heart.html
09-10-2023,Radio Canada,France,5è Rang,6,05,https://www.spin-off.frepisode05-410914-09102023-saison6-5e-Rang.html
09-10-2023,Canal+,France,66-5,1,07,https://www.spin-off.frepisode07-410555-09102023-saison1-66-5.html
09-10-2023,Canal+,Canada,66-5,1,08,https://www.spin-off.frepisode08-410556-09102023-saison1-66-5.html
09-10-2023,TVA,France,Alertes,3,17,https://www.spin-off.frepisode17-411030-09102023-saison3-Alertes.html
09-10-2023,TF1,Etats-Unis,Demain nous appartient,7,36,https://www.spin-off.frepisode36-411033-09102023-saison7-Demain-nous-appartient.html
09-10-2023,Acorn TV,Etats-Unis,Harry Wild,2,01,https://www.spin-off.frepisode01-410199-09102023-saison2-Harry-Wild.html
09-10-2023,Acorn TV,France,Harry Wild,2,02,https://www.spin-off.frepisode02-410200-09102023-saison2-Harry-Wild.html
09-10-2023,TF1,France,Ici tout commence,4,31,https://www.spin-off.frepisode31-411038-09102023-saison4-Ici-tout-commence.html
09-10-2023,France 2,France,Infiltré(e),1,05,https://www.spin-off.frepisode05-410720-09102023-saison1-Infiltre(e).html
09-10-2023,France 2,Suède,Infiltré(e),1,06,https://www.spin-off.frepisode06-410721-09102023-saison1-Infiltre(e).html
09-10-2023,Discovery +,Etats-Unis,Kamikaze (NOR),1,04,https://www.spin-off.frepisode04-411031-09102023-saison1-Kamikaze-(NOR).html
09-10-2023,Paramount+,Canada,Mentiras pasajeras,1,01,https://www.spin-off.frepisode01-410619-09102023-saison1-Mentiras-pasajeras.html
09-10-2023,Citytv,France,Murdoch Mysteries,17,02,https://www.spin-off.frepisode02-410605-09102023-saison17-Murdoch-Mysteries.html
09-10-2023,Canal+,Allemagne,Narvalo,3,05,https://www.spin-off.frepisode05-410629-09102023-saison3-Narvalo.html
09-10-2023,ZDF,Etats-Unis,SOKO Potsdam,6,03,https://www.spin-off.frepisode03-410908-09102023-saison6-SOKO-Potsdam.html
09-10-2023,NBC,France,The Irrational,1,03,https://www.spin-off.frepisode03-409679-09102023-saison1-The-Irrational.html
09-10-2023,France 2,Etats-Unis,Un Si Grand Soleil,6,27,https://www.spin-off.frepisode27-411043-09102023-saison6-Un-Si-Grand-Soleil.html
09-10-2023,Showtime,France,Ví?az,1,06,https://www.spin-off.frepisode06-410697-09102023-saison1-Viaz.html
10-10-2023,France 3,Canada,Alexandra Ehle,4,02,https://www.spin-off.frepisode02-405395-10102023-saison4-Alexandra-Ehle.html
10-10-2023,Radio Canada,Canada,À coeur battant,2,05,https://www.spin-off.frepisode05-410930-10102023-saison2-A-coeur-battant.html
10-10-2023,Noovo.ca,France,Club Soly,3,05,https://www.spin-off.frepisode05-411047-10102023-saison3-Club-Soly.html
10-10-2023,TF1,Etats-Unis,Demain nous appartient,7,37,https://www.spin-off.frepisode37-411034-10102023-saison7-Demain-nous-appartient.html
